collection_name,id_list,title_list,return_sum,return_mean
batman: the dark knight returns collection,"[123025, 142061]","['batman: the dark knight returns, part 1', 'batman: the dark knight returns, part 2']",6.405342022437307,3.2026710112186536
bats collection,[10496],['bats'],2.653364757573468,2.653364757573468
battle royale collection,"[3176, 3177, 3176, 3177]","['battle royale', 'battle royale ii: requiem', 'battle royale', 'battle royale ii: requiem']",13.602077453170065,3.400519363292516
battlestar galactica (reboot) collection,"[69315, 105077]","['battlestar galactica: razor', 'battlestar galactica: the plan']",5.306729515146936,2.653364757573468
beach party collection,"[26879, 26484, 39113, 53617, 26483, 27376]","['how to stuff a wild bikini', 'beach party', 'bikini beach', 'pajama party', 'beach blanket bingo', 'muscle beach party']",15.920188545440807,2.653364757573468
beastmaster collection,"[16441, 27549]","['the beastmaster', 'beastmaster 2: through the portal of time']",5.195545329938508,2.597772664969254
beauty and the beast collection,"[10020, 13313]","['beauty and the beast', 'beauty and the beast: the enchanted christmas']",17.74738687757347,8.873693438786734
beck - historien om ett brott,[34527],['murder at the savoy'],2.653364757573468,2.653364757573468
beck collection,"[315360, 315362, 270045, 315367, 270047]","['beck 27 - rum 302', 'beck 28 - familjen', 'beck 04 - öga för öga', 'beck 30 - sjukhusmorden', 'beck 06 - monstret']",13.266823787867338,2.653364757573468
beethoven collection,"[11806, 10438, 24476, 24477, 13955, 295887, 78080]","['beethoven', ""beethoven's 2nd"", ""beethoven's 3rd"", ""beethoven's 5th"", ""beethoven's big break"", ""beethoven's treasure tail"", ""beethoven's christmas adventure""]",55.99673061829982,7.999532945471403
before... collection,"[76, 80, 132344, 132344]","['before sunrise', 'before sunset', 'before midnight', 'before midnight']",15.588332074074074,3.8970830185185186
begotten collection,[1483],['begotten'],2.653364757573468,2.653364757573468
behind enemy lines collection,"[8007, 10005, 14028, 260063, 8007, 10005]","['behind enemy lines', 'behind enemy lines ii: axis of evil', 'behind enemy lines iii: colombia', 'seal team eight: behind enemy lines', 'behind enemy lines', 'behind enemy lines ii: axis of evil']",15.201119130293872,2.533519855048979
belle et sébastien,"[204668, 334304]","['belle and sebastian', 'belle and sebastian: the adventure continues']",5.306729515146936,2.653364757573468
benvenuti al... collection,"[48415, 85038]","['welcome to the south', 'welcome to the north']",22.22950308333333,11.114751541666665
berserk: golden age arc,"[118412, 113082, 144288, 118412, 113082, 144288]","['berserk: the golden age arc 2 - the battle for doldrey', 'berserk: the golden age arc 1 - the egg of the king', 'berserk: the golden age arc 3 - the advent', 'berserk: the golden age arc 2 - the battle for doldrey', 'berserk: the golden age arc 1 - the egg of the king', 'berserk: the golden age arc 3 - the advent']",15.920188545440807,2.653364757573468
best exotic marigold hotel collection,"[74534, 268238, 74534]","['the best exotic marigold hotel', 'the second best exotic marigold hotel', 'the best exotic marigold hotel']",35.9650578,11.988352599999999
best of the best collection,"[36555, 32049]","['best of the best 3: no turning back', 'best of the best 2']",4.1919796792001245,2.0959898396000622
beverly hills chihuahua collection,"[14405, 54540, 105965]","['beverly hills chihuahua', 'beverly hills chihuahua 2', 'beverly hills chihuahua 3 - viva la fiesta!']",12.957964912884218,4.3193216376280725
beverly hills cop collection,"[306, 96, 90]","['beverly hills cop iii', 'beverly hills cop ii', 'beverly hills cop']",38.47313011333333,12.824376704444445
bhoothnath collection,"[264085, 15974, 264085, 15974]","['bhoothnath returns', 'bhoothnath', 'bhoothnath returns', 'bhoothnath']",10.613459030293871,2.653364757573468
big man collection,"[259634, 46572]","['big man - a policy for hell', 'big man - an unusual insurance']",5.306729515146936,2.653364757573468
big momma's house collection,"[9600, 11565, 38322]","[""big momma's house"", ""big momma's house 2"", 'big mommas: like father, like son']",11.868106170833332,3.9560353902777776
bikini summer collection,"[74097, 96105, 141055]","['bikini summer iii: south beach heat', 'bikini summer', 'bikini summer ii']",7.960094272720403,2.653364757573468
bill & ted's most excellent collection,"[1648, 1649, 1648]","[""bill & ted's excellent adventure"", ""bill & ted's bogus journey"", ""bill & ted's excellent adventure""]",10.750372557573467,3.5834575191911555
billa collection,"[23767, 116185, 23767, 116185]","['billa', 'billa ii', 'billa', 'billa ii']",10.613459030293871,2.653364757573468
billy jack collection,"[21142, 78140, 44695, 83980]","['billy jack', 'billy jack goes to washington', 'the born losers', 'the trial of billy jack']",16.481653838652658,4.1204134596631645
bionicle collection,"[19325, 21379, 18224, 22259]","['bionicle: mask of light', 'bionicle 2: legends of metru nui', 'bionicle 3: web of shadows', 'bionicle: the legend reborn']",10.613459030293871,2.653364757573468
birdemic collection,"[40016, 188489]","['birdemic: shock and terror', 'birdemic 2: the resurrection']",5.306729515146936,2.653364757573468
black & white collection,"[137400, 137400]","['black & white: the dawn of assault', 'black & white: the dawn of assault']",1.8682247565442147,0.9341123782721074
black emanuelle collection,"[40348, 39965, 28682, 28324, 28325, 28574, 45233]","['black emanuelle', 'emmanuelle in bangkok', 'emanuelle in america', 'emmanuelle and the last cannibals', 'emmanuelle around the world', 'caged women', ""women's prison massacre""]",18.573553303014275,2.653364757573468
black magic collection,"[52854, 52854]","['black magic', 'black magic']",5.306729515146936,2.653364757573468
black scorpion collection,"[29055, 27010, 29054]","['sting of the black scorpion', 'black scorpion', 'black scorpion ii: aftershock']",7.960094272720403,2.653364757573468
